,Player,Weighted Rank,Rank,Trend,Pos,Years,3P_Percentile,FG%_Percentile,TRB_Percentile,FT%_Percentile,AST_Percentile,STL_Percentile,BLK_Percentile,PTS_Percentile
312,Nikola Jokić,7.293490105739226,7.229374567220409,0.06411553851881618,['C'],5,0.707108364977947,0.8506473517190848,0.9876552772830672,0.7484422847407208,0.9854040883567008,0.9482324204595309,0.8726143300198611,0.9644076339466997
191,Jayson Tatum,7.0991594975551084,6.85718246322938,0.24197703432572823,['SF' 'PF'],5,0.8928910886281223,0.5640345817691086,0.8981680113722638,0.7831877284274869,0.7773620851531601,0.9033514554238298,0.8443528369537587,0.9337229152999736
180,James Harden,7.000622195349292,7.152451676262163,-0.15182948091287082,['PG' 'PG-SG' 'SG'],5,0.9395227920227921,0.46004875721244815,0.8641630353568454,0.8858411408065126,0.9890902991251428,0.9335281392090657,0.8257270779231028,0.9637376918078673
143,Giannis Antetokounmpo,6.914291714163584,6.904490121950758,0.009801592212825797,['PF'],5,0.565308022987754,0.8881048083566695,0.9833445946346485,0.29288952850845096,0.9419544307514804,0.887239219951949,0.959299553087483,0.9884235660524411
272,Luka Dončić,6.911123995256257,6.762899441517781,0.19763273831796757,['PG' 'SG'],4,0.9553004786621129,0.5569328723830517,0.9435422288775984,0.3654881609492574,0.9762970438883536,0.8544425027441404,0.6235161033974148,0.9742952836410035
313,Nikola Vučević,6.865272066957083,6.701964461584986,0.16330760537209707,['C'],5,0.7430756871645089,0.7053956109076274,0.9744941866937709,0.6028692888084595,0.8310965435733152,0.7972325946699804,0.8981035031563286,0.9019147482345196
228,Karl-Anthony Towns,6.826069567079846,6.845916276745951,-0.019846709666105678,['C'],5,0.8404237138903772,0.818866361267033,0.9501538964758272,0.747797798413304,0.8020148078996326,0.6754405882659482,0.930512439592623,0.9320193753906872
455,Kawhi Leonard,6.804561251797414,6.780119986830577,0.04888252993367303,['SF'],3,0.7869240935231986,0.7578652352722056,0.8432074539281639,0.903278155547491,0.8377303305347219,0.9586099793297466,0.6264304245965704,0.9483230047541639
365,Stephen Curry,6.791722632160409,6.705942229264983,0.11437387052723436,['PG'],4,0.9941087014017456,0.630532868379861,0.7340590303836496,0.9808538058319036,0.9321626897451469,0.9077797778629239,0.3940576626148813,0.9690405150753769
17,Anthony Edwards,6.758378219966808,6.685626632241215,0.2910063509023724,['SG'],2,0.9572145061728394,0.3378041904083571,0.7955959164292498,0.5118233618233619,0.8382968304843305,0.9614702041785375,0.8058256172839506,0.9512048907882241
260,LaMelo Ball,6.753342013889106,6.420746527777778,1.33038194444531,['PG'],2,0.8417497625830959,0.3722148029439696,0.8339891975308642,0.6557573599240266,0.9508457977207977,0.9643770773979108,0.6133235398860399,0.8512375356125357
202,Joel Embiid,6.745065103002456,6.570409566218581,0.17465553678387474,['C'],5,0.6022488965270449,0.7393425634880432,0.9745593050873147,0.6475984367276687,0.7706616229925193,0.6608117161661774,0.9612578104388214,0.9536998574494234
266,LeBron James,6.739532242700384,6.819355862928957,-0.07982362022857312,['PF' 'PG' 'SF'],5,0.8496605162811326,0.8213484824424663,0.8998534544727406,0.287370704734787,0.964417843516076,0.8555314944998397,0.7841163308191638,0.9557083148756886
401,Tyrese Haliburton,6.673169293091322,6.438285701566952,0.9395343660974782,['SG-PG' 'PG'],2,0.8686387108262108,0.6350620251661918,0.5852356362773029,0.7828941120607786,0.9544189221272554,0.9636128917378917,0.7735636277302944,0.7919189221272555
243,Kevin Durant,6.642630286529071,6.79134296871723,-0.1982835762508791,['PF' 'SF'],4,0.8167537210358912,0.832124937961412,0.8129814593551176,0.9430193378611456,0.9020378616542,0.5686331470543099,0.9111712961550141,0.9460966727757094
101,Devin Booker,6.63593683862473,6.3583760259738025,0.2775608126509276,['SG'],5,0.8850500169075746,0.620730222482784,0.6726708097932652,0.904091314616186,0.9140426109791446,0.7209146960438524,0.4626188157184158,0.9703341539910323
323,Pascal Siakam,6.615055611858784,6.239571832688937,0.37548377916984665,['PF'],5,0.6186820426831463,0.7029080329849842,0.8770074716612308,0.46117364109694503,0.8211159868864912,0.8314961080247919,0.820062243204901,0.844583571593706
384,Tobias Harris,6.605160069638165,6.643211337985067,-0.038051268346901014,['PF'],5,0.8217774914682824,0.7013196188556959,0.9049633704722984,0.7917928394815597,0.8066082637524541,0.7075056597404615,0.7926657168533363,0.9315673032648023
220,Jrue Holiday,6.57916559889497,6.682342559273559,-0.10317696037858934,['PG' 'SG'],5,0.8124866958879927,0.7010276213602715,0.7243912959953647,0.46418377147389434,0.966932289987734,0.971662169538377,0.8178846612663339,0.9031898750903368
413,Zach LaVine,6.505797989802031,6.481358605623374,0.0325858455715426,['SG' 'SF'],4,0.927815334626442,0.6581921307876593,0.7077518989838496,0.7462457854139699,0.874443999734356,0.715441550409082,0.6378265733028257,0.9579301452330019
293,Miles Bridges,6.502122481124933,5.951252051549811,0.7344939061001621,['PF' 'SF'],4,0.7477786705898046,0.6065239996484659,0.8283144724166138,0.631799509250546,0.6612657600497318,0.684134462416905,0.8785042837231067,0.7660463239520714
40,Buddy Hield,6.48054792285441,6.422714688826756,0.057833234027654515,['SG'],5,0.9867270035400699,0.36610710540633373,0.7729613161674224,0.8699989580323144,0.7831132542166811,0.8324506767425126,0.6068321881516832,0.9112886091445306
250,Khris Middleton,6.476089866003252,6.483455485979109,-0.007365619975856358,['SF'],5,0.9125500387456373,0.5963572157030477,0.8437514443274894,0.9207872941528479,0.915983659810682,0.8704548420367082,0.3149932736786778,0.9335749862259828
